Date, Tournament, Rank, Winner_Name, Average
04/02/2022,Players Championship 10,PT,Michael van Gerwen,97.84
04/03/2022,Challenge Tour 10,-,Andy Jenkins,88.18
04/03/2022,JDC Foundation Tour 7,-,Evan Willoughby,74.81
04/03/2022,JDC Foundation Tour 8,-,Evan Willoughby,71.66
04/03/2022,Players Championship 11,PT,Ryan Searle,96.32
04/08/2022,DPA Pro Tour - NSW 7,-,Dave Marland,79.89
04/08/2022,DPA Pro Tour - NSW 8,-,Mitchell Clegg,75.52
04/08/2022,DPA Pro Tour - SA 7,-,Rob Modra,81.79
04/08/2022,DPA Pro Tour - VIC 7,-,Brandon Weening,79.71
04/08/2022,DPA Pro Tour - WA 7,-,Justin Miles,80.44
04/08/2022,European Tour Card Holder Qualifier 6,Q,,
04/08/2022,European Tour Card Holder Qualifier 7,Q,,
04/08/2022,World Seniors Darts Tour Masters Qualifier,-,Chris Mason,88.58
04/09/2022,DPA Pro Tour - SA 8,-,Danny Porter,77.26
04/09/2022,DPA Pro Tour - VIC 8,-,Stuart Coburn,86.07
04/09/2022,DPA Pro Tour - WA 8,-,David Platt,83.6
04/09/2022,Players Championship 12,PT,Dirk van Duijvenbode,101.15
04/10/2022,DPA Pro Tour - NSW 9,-,Dave Marland,80.69
04/10/2022,DPA Pro Tour - SA 9,-,Danny Porter,75.38
04/10/2022,DPA Pro Tour - VIC 9,-,Mal Cuming,80.6
04/10/2022,DPA Pro Tour - WA 9,-,Justin Miles,81.78
04/10/2022,Players Championship 13,PT,Nathan Aspinall,94.92
04/10/2022,World Championship - Boys,-,Bradly Roes,69.95
04/10/2022,World Championship - Girls,-,Eleanor Cairns,52.45
04/10/2022,World Championship - Men,-,Neil Duff,90.6
04/10/2022,World Championship - Women,-,Beau Greaves,84.65
04/10/2022,World Seniors Darts Tour Masters Qualifier 1,-,Dave Cameron,89.44
04/10/2022,World Seniors Darts Tour Masters Qualifier 2,-,Wayne Jones,83.76
04/16/2022,Geelong Easter Classic Men,-,Sam Ballinger,85.32
04/16/2022,Geelong Easter Classic Women,-,Amanda Loch,58.35
04/16/2022,Geelong Easter Classic Youth,-,Andrew Nielson,53.55
04/18/2022,European Tour 3,ET,Luke Humphries,97.92
04/22/2022,European Tour Associate Member Qualifier 5,Q,,
04/22/2022,European Tour Associate Member Qualifier 7,Q,,
04/22/2022,European Tour Home Nation Qualifier 5,Q,,
04/22/2022,European Tour Home Nation Qualifier 7,Q,,
04/23/2022,European Tour Associate Member Qualifier 9,Q,,
04/23/2022,European Tour Associate Member Qualifier 11,Q,,
04/23/2022,European Tour Eastern Europe Qualifier 6,Q,Sebastian Bialecki,93.68
04/23/2022,European Tour Eastern Europe Qualifier 7,Q,Karel Sedláček,92.32
04/23/2022,European Tour Home Nation Qualifier 9,Q,,
04/23/2022,European Tour Home Nation Qualifier 11,Q,,
04/23/2022,Iceland Open Men,-,Gabor Takacs,70.56
04/23/2022,Iceland Open Women,-,Ingibjorg Magnúsdóttir,49.51
04/24/2022,European Tour Associate Member Qualifier 4,Q,,
04/24/2022,European Tour Associate Member Qualifier 6,Q,,
04/24/2022,European Tour Associate Member Qualifier 8,Q,,
04/24/2022,European Tour Associate Member Qualifier 9,Q,,
04/24/2022,European Tour Eastern Europe Qualifier 8,Q,Sebastian Bialecki,84.32
04/24/2022,European Tour Eastern Europe Qualifier 9,Q,Sebastian Bialecki,86.56
04/24/2022,Scottish Open Men,-,James Hurrell,88.52
04/24/2022,Scottish Open Women,-,Deta Hedman,68.93
04/28/2022,European Tour Home Nation Qualifier 4,Q,,
04/29/2022,Cleveland Extravaganza Boys,-,Peter Stewart Jr,69.91
04/29/2022,Cleveland Extravaganza Girls,-,Aaja Jalbert,58.18
04/29/2022,Cleveland Extravaganza Men,-,Daniel Lauby Jr.,90.99
04/29/2022,Cleveland Extravaganza Women,-,Aaja Jalbert,65.59
04/30/2022,Women's Series 5,-,Trina Gulliver,71.06
04/30/2022,Women's Series 6,-,Lisa Ashton,80.01
05/01/2022,European Tour 4,ET,Michael van Gerwen,97.46
05/01/2022,Women's Series 7,-,Fallon Sherrock,84.5
05/01/2022,Women's Series 8,-,Lisa Ashton,80.13
05/06/2022,Development Tour 6,-,Nathan Rafferty,88.42
05/06/2022,Development Tour 7,-,Jurjen van der Velde,85.94
05/07/2022,Development Tour 8,-,Conor Heneghan,87.25
05/07/2022,Development Tour 9,-,Nathan Girvan,88.72
05/07/2022,JDC Foundation Tour 9,-,Robbe Dasseville,72
05/07/2022,JDC Foundation Tour 10,-,Evan Willoughby,81.04
05/08/2022,Development Tour 10,-,Geert Nentjes,90.96
05/08/2022,European Tour 5,ET,Michael van Gerwen,101.75
05/08/2022,JDC Foundation Tour 11,-,Robbe Dasseville,76.63
05/08/2022,JDC Foundation Tour 12,-,Evan Willoughby,70.89
05/08/2022,Welsh Classic Men,-,Barry Copeland,87.27
05/08/2022,Welsh Classic Women,-,Fallon Sherrock,78.61
05/08/2022,Welsh Classic Youth,-,Luke Littler,95.03
05/08/2022,Welsh Open Boys,-,Luke Littler,85.2
05/08/2022,Welsh Open Girls,-,Paige Pauling,55.7
05/08/2022,Welsh Open Men,-,Luke Littler,92.11
05/08/2022,Welsh Open Women,-,Beau Greaves,84.54
05/09/2022,European Tour Card Holder Qualifier 8,Q,,
05/09/2022,European Tour Card Holder Qualifier 9,Q,,
05/10/2022,Players Championship 14,PT,Michael Smith,99.71
05/11/2022,Players Championship 15,PT,Michael Smith,100.72
05/12/2022,European Tour Home Nation Qualifier 6,Q,,
05/13/2022,DPA Pro Tour - NSW 10,-,David Hanel,78.44
05/13/2022,DPA Pro Tour - QLD 10,-,Robbie King,84.57
05/13/2022,DPA Pro Tour - SA 10,-,Danny Porter,80.12
05/13/2022,DPA Pro Tour - VIC 10,-,Brandon Weening,89.34
05/13/2022,DPA Pro Tour - WA 10,-,Justin Miles,88.34
05/13/2022,World Series Qualifier 1,-,Dave Cameron,93.14
05/13/2022,World Series Qualifier 2,-,,
05/14/2022,CDC Pro Tour 1,-,Matt Campbell,87.3
05/14/2022,CDC Pro Tour 2,-,Leonard Gates,92.81
05/14/2022,DPA Pro Tour - NSW 11,-,Dave Marland,74.78
05/14/2022,DPA Pro Tour - QLD 11,-,Peter Willmott,76.15
05/14/2022,DPA Pro Tour - SA 11,-,Danny Porter,74.02
05/14/2022,DPA Pro Tour - VIC 11,-,Brandon Weening,84.89
05/14/2022,DPA Pro Tour - WA 11,-,Howard Jones,82.93
05/15/2022,CDC Pro Tour 3,-,Danny Baggish,90.85
05/15/2022,DPA Pro Tour - NSW 12,-,Dave Marland,71.5
05/15/2022,DPA Pro Tour - QLD 12,-,Robbie King,81.86
05/15/2022,DPA Pro Tour - SA 12,-,Danny Porter,80.91
05/15/2022,DPA Pro Tour - VIC 12,-,Mal Cuming,82.35
05/15/2022,DPA Pro Tour - WA 12,-,Justin Miles,79.49
05/15/2022,European Tour 6,ET,Luke Humphries,97.11
05/21/2022,JDC Advanced Tour 9,-,Charlie Large,79.25
05/21/2022,JDC Advanced Tour 10,-,Kieran Thompson,81.84
05/22/2022,European Tour 7,ET,Luke Humphries,99.89
05/22/2022,JDC Advanced Tour 11,-,Kieran Thompson,80.14
05/22/2022,JDC Advanced Tour 12,-,Kieran Thompson,80.81
05/22/2022,Sunshine State Classic Men,-,Raymond Smith,89.56
05/22/2022,Sunshine State Classic Women,-,Tori Kewish,68.41
05/26/2022,European Tour Home Nation Qualifier 8,Q,,
05/29/2022,European Tour 8,ET,Michael Smith,101.48
05/29/2022,Nordic Cup Open Men,-,Andreas Harrysson,77.61
05/29/2022,Nordic Cup Open Women,-,Veronica Simonsen,57.02
05/29/2022,Oregon Open Men,-,Daniel Lauby Jr.,82.53
05/29/2022,Oregon Open Women,-,Cassy Scantlen,54.51
05/29/2022,World Seniors Masters,-,Dave Cameron,87.71
06/03/2022,Development Tour 11,-,Nathan Rafferty,92.36
06/03/2022,Development Tour 12,-,Keane Barry,88.65
06/03/2022,European Tour Nordic and Baltic Qualifier 10,Q,Daniel Larsson,91.78
06/04/2022,Development Tour 13,-,Geert Nentjes,90.54
06/04/2022,Development Tour 14,-,Sebastian Bialecki,89.75
06/04/2022,European Tour Nordic and Baltic Qualifier 11,Q,Daniel Larsson,86.74
06/04/2022,Nordic Baltic Tour 3,-,Darius Labanauskas,85.14
06/04/2022,North American Darts Championship,-,Leonard Gates,92.82
06/04/2022,World Series of Darts 1,U,Michael Smith,95.41
06/05/2022,Development Tour 15,-,Keane Barry,90.18
06/05/2022,Nordic Baltic Tour 4,-,Dennis Nilsson,86.17
06/10/2022,World Seniors Darts Tour Pre-qualifier Event,-,Vince Tipple,80.14
06/11/2022,DPA Pro Tour - NSW 13,-,Dave Marland,77.1
06/11/2022,DPA Pro Tour - SA 13,-,Danny Porter,85.89
06/11/2022,DPA Pro Tour - VIC 13,-,Brandon Weening,85.05
06/11/2022,DPA Pro Tour - WA 13,-,Koha Kokiri,84.22
06/11/2022,World Seniors Darts Tour Matchplay Qualifier 1,-,Brian Dawson,83.98
06/11/2022,World Seniors Darts Tour Matchplay Qualifier 2,-,Paul Hogan,89.78
06/11/2022,World Series of Darts 2,U,Dimitri Van den Bergh,98.22
06/12/2022,DPA Pro Tour - NSW 14,-,Matt Liddall,75.41
06/12/2022,DPA Pro Tour - SA 14,-,Kym Mitchell,74.71
06/12/2022,DPA Pro Tour - VIC 14,-,Brandon Weening,81.62
06/12/2022,DPA Pro Tour - WA 14,-,Blake Hatchett,79
06/12/2022,Dutch Open Aspiranten,-,Dominik Kocik,71.74
06/12/2022,Dutch Open Boys,-,Dylan Van Lierop,79.96
06/12/2022,Dutch Open Girls,-,Roos van der Velde,52.16
06/12/2022,Dutch Open Men,-,,
06/12/2022,Dutch Open Women,-,Beau Greaves,79.83
06/13/2022,DPA Pro Tour - NSW 15,-,David Hanel,75.78
06/13/2022,DPA Pro Tour - SA 15,-,Danny Porter,82.12
06/13/2022,DPA Pro Tour - VIC 15,-,Stuart Coburn,83.5
06/13/2022,DPA Pro Tour - WA 15,-,Howard Jones,77.38
06/13/2022,Premier League,U,Michael van Gerwen,98.9
06/14/2022,Players Championship 16,PT,Michael Smith,100.49
06/15/2022,Players Championship 17,PT,Scott Williams,89.65
06/19/2022,World Cup,U,,
06/25/2022,CDC Pro Tour 4,-,Jacob Taylor,89.36
06/25/2022,CDC Pro Tour 5,-,Dave Cameron,90.05
06/25/2022,European Tour Eastern Europe Qualifier 10,Q,Karel Sedláček,3
06/25/2022,European Tour Eastern Europe Qualifier 11,Q,Karel Sedláček,3
06/25/2022,Women's Series 9,-,Lisa Ashton,85.75
06/25/2022,Women's Series 10,-,Lorraine Winstanley,76.1
06/25/2022,Women's Series 11,-,Fallon Sherrock,88.25
06/25/2022,World Series of Darts 3,U,Dimitri Van den Bergh,100.58
06/26/2022,CDC Pro Tour 6,-,Dave Cameron,94.84
06/26/2022,European Tour Eastern Europe Qualifier 12,Q,Karel Sedláček,3
06/26/2022,European Tour Eastern Europe Qualifier 13,Q,Karel Sedláček,3
06/26/2022,Romanian Classic Men,-,,
06/26/2022,Romanian Classic Women,-,,
06/26/2022,Romanian Open Men,-,Patrick Kovacs,80.86
06/26/2022,Romanian Open Women,-,Beau Greaves,84.62
06/26/2022,Victoria Classic Men,-,,
06/26/2022,Victoria Classic Women,-,,
06/26/2022,Women's Series 12,-,Lisa Ashton,82.97
07/01/2022,World Seniors Matchplay,-,Robert Thornton,89
07/03/2022,European Tour 9,ET,Luke Humphries,97.68
07/07/2022,European Tour Card Holder Qualifier 10,Q,,
07/07/2022,European Tour Card Holder Qualifier 11,Q,,
07/08/2022,Players Championship 18,PT,Dirk van Duijvenbode,100.82
07/09/2022,Players Championship 19,PT,Danny Noppert,96.35
07/10/2022,European Tour Home Nation Qualifier 10,Q,,
07/10/2022,Players Championship 20,PT,Adrian Lewis,94.32
07/11/2022,Players Championship 21,PT,Brendan Dolan,92.32
07/14/2022,World Series Qualifier 4,Q,Bailey Marsh,86.94
07/14/2022,World Series Qualifier 5,Q,Dave Marland,87.01
07/15/2022,Challenge Tour 11,-,Danny van Trijp,86.7
07/15/2022,Challenge Tour 12,-,Gian van Veen,93.72
07/15/2022,World Series Qualifier 4,Q,Koha Kokiri,78.56
07/15/2022,World Series Qualifier 5,Q,Koha Kokiri,84.68
07/16/2022,Challenge Tour 13,-,Jurjen van der Velde,88.78
07/16/2022,Challenge Tour 14,-,Kenny Neyens,86.22
07/16/2022,World Series Qualifier 6,Q,Mal Cuming,83.65
07/17/2022,Challenge Tour 15,-,David Pallett,96.55
07/17/2022,PDJ Japanese Championship,-,Nobuhiro Yamamoto,82.02
07/17/2022,World Championship - Australian Qualifier,Q,Raymond Smith,87.87
07/18/2022,World Series Qualifier 4,Q,Dave Marland,84.43
07/18/2022,World Series Qualifier 5,Q,Raymond O'Donnell,80.02
07/19/2022,World Series Qualifier 4,Q,Joe Comito,83.99
07/19/2022,World Series Qualifier 5,Q,Mal Cuming,83.08
07/24/2022,PDC Womens World Matchplay,-,Fallon Sherrock,81.67
07/24/2022,World Matchplay,MJ,Michael van Gerwen,98.62
07/29/2022,European Tour Nordic and Baltic Qualifier 12,Q,Dennis Nilsson,85.39
07/30/2022,European Tour Nordic and Baltic Qualifier 13,Q,Marko Kantele,85.76
07/30/2022,MODUS Super Series #1 Week 1,-,Robert Owen,93.01
07/30/2022,Nordic Baltic Tour 5,-,Andreas Harrysson,90.1
07/30/2022,World Seniors Darts Tour 3,-,Jim McEwan,88.3
07/30/2022,World Seniors Darts Tour 4,-,Richie Howson,88.67
07/31/2022,Nordic Baltic Tour 6,-,Daniel Larsson,87.12
08/02/2022,European Tour Card Holder Qualifier 12,Q,,
08/02/2022,European Tour Card Holder Qualifier 13,Q,,
08/03/2022,Australian Open Mens,-,,
08/03/2022,Australian Open Womens,-,Beau Greaves,84.73
08/03/2022,Players Championship 22,PT,Nathan Aspinall,92.32
08/04/2022,Players Championship 23,PT,Keegan Brown,94.04
08/05/2022,CDC Matchplay,-,Jason Brandon,84.02
08/05/2022,Players Championship 24,PT,Rob Cross,97.91
08/06/2022,MODUS Super Series #1 Week 2,-,Chas Barstow,90.44
08/06/2022,World Series Finals Tour Card Qualifier,Q,,
08/07/2022,DPA Pacific Masters Mens,-,Neil Duff,83.09
08/07/2022,DPA Pacific Masters Womens,-,Lisa Ashton,78.87
08/12/2022,Nordic Baltic Tour 7,-,Darius Labanauskas,87.07
08/13/2022,CDC Pro Tour 7,-,Jacob Taylor,88.29
08/13/2022,CDC Pro Tour 8,-,Dave Cameron,88.11
08/13/2022,CDC Pro Tour 9,-,Larry Butler,89.53
08/13/2022,MODUS Super Series #1 Week 3,-,Graham Hall,94.6
08/13/2022,Nordic Baltic Tour 8,-,Darius Labanauskas,84.94
08/13/2022,Nordic Baltic Tour 9,-,Darius Labanauskas,88.09
08/13/2022,World Series of Darts 4,U,Michael van Gerwen,92.77
08/14/2022,Nordic Baltic Tour 10,-,Marko Kantele,89.62
08/19/2022,Development Tour 16,-,Josh Rock,95.38
08/19/2022,Development Tour 17,-,Josh Rock,98.55
08/20/2022,Development Tour 18,-,Gian van Veen,89.76
08/20/2022,Development Tour 19,-,Lewis Williams,84.77
08/20/2022,MODUS Super Series #1 Week 4,-,Darryl Pilgrim,93.36
08/20/2022,World Series of Darts 5,U,Jonny Clayton,94.08
08/21/2022,Development Tour 20,-,Nathan Rafferty,85.07
08/21/2022,Swedish Masters Mens,-,Dennie Olde Kalter,95.74
08/21/2022,Swedish Masters Womens,-,Aileen de Graaf,76.65
08/21/2022,Swedish Open Mens,-,Leung Kai Fan,85.05
08/21/2022,Swedish Open Womens,-,Lorraine Winstanley,74.77
08/27/2022,European Tour Associate Member Qualifier 12,Q,,
08/27/2022,MODUS Super Series #1 Week 5,-,Lee Evans,88.97
08/27/2022,SDC Pro Tour 1,-,Marcel Walpen,76.54
08/27/2022,Women's Series 13,-,Beau Greaves,84.29
08/27/2022,Women's Series 14,-,Beau Greaves,86.19
08/27/2022,World Series of Darts 6,U,Gerwyn Price,95.66
08/28/2022,European Tour Associate Member Qualifier 13,Q,,
08/28/2022,Murray Bridge Classic Mens,-,Brandon Weening,81.82
08/28/2022,Murray Bridge Classic Womens,-,Melina Van Den Kieboom,56.14
08/28/2022,SDC Pro Tour 2,-,Marcel Walpen,83.44
08/28/2022,Women's Series 15,-,Beau Greaves,87.51
08/28/2022,Women's Series 16,-,Beau Greaves,78.99
09/02/2022,CDC Congressional,-,Alex Spellman,91.79
09/03/2022,MODUS Super Series #1 Week 6,-,Ciarán Teehan,87.62
09/04/2022,European Tour 10,ET,Joe Cullen,92.2
09/10/2022,CDC Pro Tour 10,-,Danny Baggish,95.85
09/10/2022,CDC Pro Tour 11,-,Jim Long,82.97
09/10/2022,MODUS Super Series #1 Week 7,-,Graham Usher,90.49
09/11/2022,CDC Pro Tour 12,-,Jacob Taylor,94.03
09/11/2022,European Tour 11,ET,Peter Wright,100.06
09/16/2022,British Classic Men,-,James Richardson,87.68
09/16/2022,British Classic Women,-,Beau Greaves,85.43
09/16/2022,British Classic Youth,-,Thomas Banks,86.38
09/16/2022,British Open Men,-,Reece Colley,91.51
09/16/2022,British Open Women,-,Lisa Ashton,81.59
09/16/2022,Challenge Tour 16,-,Robert Owen,93.68
09/16/2022,Challenge Tour 17,-,Wesley Plaisier,94.64
09/16/2022,North Queensland Classic Mens,-,Aaron Morrison,80.1
09/16/2022,North Queensland Classic Womens,-,Kym Mitchell,72.44
09/17/2022,Challenge Tour 18,-,Jurjen van der Velde,90.26
09/17/2022,Challenge Tour 19,-,Christian Kist,88.4
09/17/2022,MODUS Super Series #1 Week 8,-,Conan Whitehead,90.5
09/18/2022,Challenge Tour 20,-,Scott Williams,88.34
09/18/2022,Chinese Premier League,-,Zong Xiaochen,89.04
09/18/2022,World Series of Darts Finals,U,Gerwyn Price,98.92
09/22/2022,European Tour Home Nation Qualifier 12,Q,,
09/24/2022,MODUS Super Series #1 Week 9,-,Scott Williams,92.99
09/25/2022,Asian Championship,-,Christian Perez,85.12
09/25/2022,European Tour 12,ET,Dave Chisnall,95.57
09/28/2022,Europe Cup Mens,-,Jacques Labre,91.45
09/28/2022,Europe Cup Womens,-,Beau Greaves,80.77
10/01/2022,JDC Super 16 1,-,Thomas Banks,76.42
10/01/2022,JDC Super 16 2,-,Connor Hopkins,85.07
10/01/2022,MODUS Super Series #1 Week 10,-,Gavin Carlin,84.89
10/01/2022,SDC Pro Tour 3,-,Marcel Walpen,74.05
10/02/2022,JDC Super 16 3,-,Connor Hopkins,80.75
10/02/2022,JDC Super 16 4,-,Connor Hopkins,79.78
10/02/2022,SDC Pro Tour 4,-,Rocco Fulcinitti,79.95
10/02/2022,Spanish Open Mens,-,Jacques Labre,88.48
10/02/2022,Spanish Open Womens,-,Rhian O Sullivan,70.62
10/07/2022,Development Tour 21,-,Josh Rock,100.06
10/07/2022,Development Tour 22,-,Nathan Rafferty,96.55
10/08/2022,Development Tour 23,-,Nathan Rafferty,92.62
10/08/2022,Development Tour 24,-,Joshua Richardson,86.42
10/08/2022,MODUS Super Series #1 Week 11,-,Peter Jacques,85.51
10/08/2022,World Seniors Darts Tour 5,-,Darren Johnson,80.01
10/08/2022,World Seniors Darts Tour 6,-,Jim McEwan,87.38
10/09/2022,World Grand Prix,MJ,Michael van Gerwen,93.22
10/14/2022,World Championship - South and Central America Qualifier,Q,Diogo Portela,78.72
10/15/2022,Challenge Tour 21,-,Thibault Tricole,90.27
10/15/2022,Challenge Tour 22,-,Jacques Labre,93.82
10/15/2022,JDC Super 16 5,-,Thomas Banks,81.52
10/15/2022,JDC Super 16 6,-,Thomas Banks,85.29
10/15/2022,MODUS Super Series #1 Week 12,-,Chris Mason,87.12
10/16/2022,Challenge Tour 23,-,Justin Smith,85.97
10/16/2022,Challenge Tour 24,-,Andy Hamilton,88.35
10/16/2022,European Tour 13,ET,Damon Heta,93.76
10/16/2022,JDC Super 16 7,-,Thomas Banks,84.24
10/16/2022,JDC Super 16 8,-,Thomas Banks,77.05
10/16/2022,PDC World Championship - Ukrainian Qualifier,Q,Vladyslav Omelchenko,69.97
10/20/2022,Players Championship 25,PT,Dave Chisnall,102.74
10/21/2022,Players Championship 26,PT,Damon Heta,99.77
10/22/2022,MODUS Super Series #1 Week 13,-,Conan Whitehead,89.48
10/22/2022,Players Championship 27,PT,Rob Cross,99.2
10/23/2022,CDC Continental Cup,-,Alex Spellman,90.53
10/23/2022,Oceanic Masters,-,Mal Cuming,88.87
10/23/2022,Players Championship 28,PT,Josh Rock,103.23
10/29/2022,MODUS Super Series #2 Week 1,-,Jim McEwan,87.8
10/29/2022,Women's Series 17,-,Beau Greaves,89.14
10/29/2022,Women's Series 18,-,Beau Greaves,87.04
10/30/2022,European Championship,MJ,Ross Smith,98.35
10/30/2022,Women's Series 19,-,Beau Greaves,94.58
10/30/2022,Women's Series 20,-,Beau Greaves,78.76
11/04/2022,Players Championship 29,PT,Gerwyn Price,100.5
11/05/2022,MODUS Super Series #2 Week 2,-,Alexander Merkx,84.35
11/05/2022,Players Championship 30,PT,James Wade,93.72
11/06/2022,Grand Slam Qualifier,Q,,
11/11/2022,German Super League,-,Florian Hempel,91.99
11/11/2022,World Seniors Championship Qualifier 1,-,Mike Huntley,86.98
11/11/2022,World Seniors Championship Qualifier 2,-,Dennis Harbour,83.18
11/11/2022,World Seniors Darts Tour Pre-qualifier Event 1,-,Richard Rowlands,82.62
11/12/2022,MODUS Super Series #2 Week 3,-,Justin Smith,89.09
11/19/2022,MODUS Super Series #2 Week 4,-,Colin Osborne,88.18
11/19/2022,SDC Pro Tour 5,-,Patrick Ganter,69.44
11/19/2022,World Championship - Eastern Europe Qualifier,Q,Sebastian Bialecki,92.8
11/20/2022,Grand Slam,MJ,Michael Smith,98.98
11/20/2022,SDC Pro Tour 6,-,Jochen Graudenz,76.97
11/24/2022,JDC Masters,-,Luke Littler,87.21
11/25/2022,JDC World Championship,-,Luke Littler,83.58
11/26/2022,MODUS Super Series #2 Week 5,-,Jamie Kelling,85.96
11/26/2022,World Championship - Western Europe Qualifier,Q,Jimmy Hendriks,89.22
11/27/2022,Players Championship Finals,MJ,Michael van Gerwen,101.35
11/27/2022,World Youth Championship,-,Josh Rock,97.58
11/28/2022,World Championship Tour Card Holder Qualifier,Q,,
12/03/2022,MODUS Super Series #2 Week 6,-,Graham Usher,87.91
12/03/2022,SDC Pro Tour 7,-,Marcel Walpen,76.64
12/04/2022,SDC Pro Tour 8,-,Stefan Bellmont,81
12/10/2022,MODUS Super Series #2 Week 7,-,Raymond Smith,92.96
12/17/2022,MODUS Super Series #2 Week 8,-,Adam Warner,86.6
12/17/2022,SDC Pro Tour 9,-,Jochen Graudenz,76.87
12/18/2022,SDC Pro Tour 10,-,Rocco Fulcinitti,75.95
01/03/2023,World Championship,WC,Michael Smith,98.47
01/07/2023,MODUS Super Series #2 Week 9,-,Adam Mould,85.07
01/09/2023,"EU Q School - Stage 1, Group A 1",Q,,
01/09/2023,"UK Q School - Stage 1, Group A 1",Q,,
01/10/2023,"EU Q School - Stage 1, Group A 2",Q,,
01/10/2023,"UK Q School - Stage 1, Group A 2",Q,,
01/11/2023,"EU Q School - Stage 1, Group A 3",Q,,
01/11/2023,"UK Q School - Stage 1, Group A 3",Q,,
01/12/2023,EU Q School - Stage 2 1,Q,Jeffrey Sparidaans,90.86
01/12/2023,UK Q School - Stage 2 1,Q,Arron Monk,91.07
01/13/2023,EU Q School - Stage 2 2,Q,Corey Cadby,95.16
01/13/2023,UK Q School - Stage 2 2,Q,Graham Usher,90.3
01/13/2023,World Series of Darts 1,U,Michael Smith,94.24
01/14/2023,EU Q School - Stage 2 3,Q,Jeffrey de Zwaan,95.07
01/14/2023,MODUS Super Series #2 Week 10,-,Matt Clark,84.11
01/14/2023,UK Q School - Stage 2 3,Q,Josh Payne,94.77
01/15/2023,EU Q School - Stage 2 4,Q,Robbie Knops,87.35
01/15/2023,UK Q School - Stage 2 4,Q,Adam Smith-Neale,93.58
01/20/2023,Challenge Tour 1,-,Chris Landman,89.81
01/20/2023,Challenge Tour 2,-,Christian Kist,88.95
01/21/2023,Challenge Tour 3,-,Andy Boulton,89.62
01/21/2023,Challenge Tour 4,-,Cameron Crabtree,89.82
01/21/2023,MODUS Super Series #2 Week 11,-,Johnny Haines,90.2
01/21/2023,SDC Pro Tour 11,-,Andy Bless,77.22
01/21/2023,World Series of Darts 2,U,Peter Wright,97.42
01/22/2023,Challenge Tour 5,-,Thibault Tricole,91.73
01/22/2023,Las Vegas Open Men,-,Leonard Gates,82.4
01/22/2023,Las Vegas Open Women,-,Paula Murphy,67.85
01/22/2023,Romanian Classic Men,-,Gary Stone,86.71
01/22/2023,Romanian Classic Women,-,Beau Greaves,82.57
01/22/2023,Romanian Open Men,-,Laszlo Kadar,81.19
01/22/2023,Romanian Open Women,-,Beau Greaves,87.87
01/22/2023,SDC Pro Tour 12,-,Andy Bless,76.73
01/27/2023,World Seniors Championship Qualifier 3,-,Richie Howson,88.36
01/27/2023,World Seniors Championship Qualifier 4,-,Richie Howson,89.05
01/27/2023,World Seniors Darts Tour Pre-qualifier Event 2,-,Mike Huntley,86.98
01/28/2023,MODUS Super Series #2 Week 12,-,John Henderson,87.04
01/29/2023,Masters,U,Chris Dobey,94.9
02/04/2023,MODUS Super Series #2 Week 13,-,Raymond Smith,92.51
02/04/2023,SDC Pro Tour 13,-,Marcel Walpen,79.61
02/05/2023,SDC Pro Tour 14,-,Marcel Walpen,82.8
02/10/2023,European Tour Associate Member Qualifier 1,Q,,
02/10/2023,European Tour Associate Member Qualifier 2,Q,,
